Comments,n_stars,len_cmt,Pin,Service,General,Others,SGeneral,SPin,SSer,SOth
"em mới vừa mua hôm quá, máy xài rất ok nhưng sao lúc sạc pin thì máy lại nóng quá vậy ạ?",4,88,0,0,1,1,1,2.0,2.0,-1.0
"Mới mua máy đc 2 tháng máy tụt 99%, dù dùng rất cẩn thận, theo kiểu này k dùng đc lâu bền. Tháng đầu sạc pin chỉ mất hơn 1 tiếng, nay sạc mất 2 tiếng rưỡi mới đầy, pin con 11 này nói trâu mà k hề trâu, chán thực sự. Có cách nào khắc phục k nhỉ ?",3,245,1,0,0,0,2,-1.0,2.0,2.0
"Mình mua máy đợt vừa rồi có cài cảm ứng chạm quả táo sau máy mà lúc được lúc không, quay màn hình call video thì mất tiếng đúng chán. chơi titok thì toàn có đề thiết bị không hỗ trợ hiệu ứng mà gần như hiệu ứng nào cũng báo thế quá chán",3,236,0,0,0,1,2,2.0,2.0,-1.0
Sao lúc bật mạng 4g mà nó nhấp nháy mấy cái chỗ bật mạng vậy.ngày xưa dùng hệ điều hành cũ bị.lên bản cập nhập mới lúc đầu k bị giờ cứ bật tắt mạng là nó cứ nhấp nháy à,3,168,0,0,0,1,2,2.0,2.0,-1.0
Máy mới mua gần 3 tháng khi call bị tè như tiếng rào rào è è trong khi ng đối diện thù tắt mic vẫn rè lớn rất khó chịu nhờ kiểm tra lại dùm em,3,142,0,0,0,1,2,2.0,2.0,-1.0
Nói chung máy tốt pin xài trong ngày ok có đều lâu lâu máy bị đơ phải tắt nguồn mới hết,4,87,1,0,1,1,1,1.0,2.0,-1.0
Mình mua ip11 xong được tặng 1 cái thẻ viettel mà nạp lại báo là thuê bao quý khách không được hô trợ mình với,5,110,0,0,0,1,2,2.0,2.0,0.0
May rất ok. Nhưng hài lòng nhất là nhân viên của dmx.rất nhiệt tình với khác hàng,5,81,0,1,1,0,1,2.0,1.0,2.0
mới mua được 3 tháng mà tình trạng bin tụt còn 96%. mặc dù không vừa sạc vừa sài.,4,81,1,0,0,0,2,-1.0,2.0,2.0
Mình mua máy đổi trả ở tgdd mà lúc đi cầm người ta báo là máy đã bị bung và thay pin các kiểu là sao vậy nhỉ,3,108,0,1,0,0,2,2.0,-1.0,2.0
"Máy khi sử dụng r nóng, pin hao rất nhanh, đi làm từ sáng tới chiều, chỉ dùng khi có tin nhắn hoặc gọi điện , buổi trưa lướt mạng khoảng 1 tiếng mà cuối ngày ko còn pin",3,168,1,0,0,1,2,-1.0,2.0,-1.0
Cho em hỏi em mới mua đc 1 tháng mấy mà tụt pin còn 97% là sao ạ em xài củ sạc dây sạc hàng chính hãng sau tụt pin nhanh thế ạ 1 ngày mấy em xài 3h đến 4h hà,3,157,1,0,0,0,2,-1.0,2.0,2.0
Tôi mua về được 2 ngày máy lỗi hỏng loa bên dưới và nghe tai nghe mất 1 tai qua cửa hàng nhân viên khắc phục mãi không được nên tôi thấy chất lượng ko hài lòng,1,159,0,1,0,1,2,2.0,-1.0,-1.0
mua 6/9 về vài bữa lên ios 17 lỗi từa lưa..ko bật tắt dữ liệu di động ở cửa sổ..ko tắt dữ liệu di động từng ứng dụng..ko tắt bật đc dữ liệu nền,2,143,0,0,0,1,2,2.0,2.0,-1.0
"Sau 1 tuần sử dụng cảm nhận máy chạy mượt, pin trâu, lướt fb với vài ứng dụng thì trụ dc hơn 1 ngày, videocall 4 tiếng thì tụt 44% khá tốt so với xs max cũ của mình. Dịch vụ giao hàng của tgdd rất tốt, nhân viên hỗ trợ nhiệt tình. Màu đỏ rất đẹp.",5,246,1,1,1,1,1,1.0,1.0,1.0
Điện thoại sài ok nhưng cáp sạt mau hư quá không pik có bảo hành cọng cáp không ạ,4,81,0,1,1,0,1,2.0,-1.0,2.0
Dùng 5p nóng máy rồi. Đổi máy mới dùng cũng nóng . Chán hơn con Oppo A54 cũ của mình. Nản,2,89,0,0,1,1,-1,2.0,2.0,-1.0
"Sản phẩm thực sự rất tốt trong tầm giá, đã dùng dc 2 tuần máy chạy rất mạnh và mượt không phát sinh lỗi gì",5,106,0,0,1,1,1,2.0,2.0,1.0
Khuyên mọi người không nên mua iphone 11 nha .Camera tệ lắm nhiễu với mờ .Thất vọng về tgdd kinh khủng.Đt mình mua đập hộp hôm 17/08/2022 đến nay là hơn 13 ngày mà nản,1,167,0,1,1,1,-1,2.0,-1.0,-1.0
Mình mua hàng từ 24/9 đến giờ là 25/12. Mình cảm thấy khá thất vọng về việc tình trạng Pin chỉ còn 97% sao 3 tháng sử dụng. Mặc dù không vừa sạc vừa dùng hay sạc nhiều lần trong ngày gì cả. Mình cần lời giải thích từ điện máy xanh ạ.,3,233,1,0,0,0,2,-1.0,2.0,2.0
Bị lỗi sạc điện thoại không vào pin khi mới mua có 10 ngày mong tgdd liên hệ sớm,2,80,0,0,0,1,2,2.0,2.0,-1.0
Cảm ơn nhân viên Quang và nhân viên duyên tgdd Tân Hải lagi bình thuận đã tư vấn nhiệt tình máy chạy mượt cam đẹp,5,113,0,1,0,1,2,2.0,1.0,1.0
"Sản phẩm tốt, máy mượt pin trâu, dùng hơn 4 tháng mà vẫn 100% pin. Nhân viên phục vụ tận tâm.",5,93,1,1,1,1,1,1.0,1.0,1.0
Moi mua vài ngày thấy xài ok. Pin củng mạnh dù chỉ 3k1 màn hình củng không đến nỗi,5,82,1,0,0,0,2,1.0,2.0,2.0
ok . rất tốt và hợp lí . nếu mà cho trả góp đc 2 con thì tốt hơn nữa hihe . iiiiiii,4,83,0,0,1,1,1,2.0,2.0,1.0
Tuyệt Vời pin bền hiệu năng cao nói chung la tốt có tiền làm con promax thì tuyệt vời hơn,5,89,1,0,1,1,1,1.0,2.0,1.0
"Máy có nhiều lỗi vặt, cảm biến vân tay hoạt động không ổn định. Pin khá tốt.",1,76,1,0,1,1,-1,1.0,2.0,-1.0
Mới mua hôm qua màu trắng 64g đẹp mà nhân viên thế giới Di Động tại thị xã kiến tường rất nhiệt tình nữa,5,104,0,1,0,1,2,2.0,1.0,1.0
Lỗi tự kết thúc cuộc gọi sau 20s. Nhiều lúc ức chế muốn đập điện thoại luôn.,3,76,0,0,0,1,2,2.0,2.0,-1.0
"Tầm giá tiền lựa chọn con này rất hợp lý. Đủ dùng cơ bản các thứ. Máy mượt, ko lag như android",4,94,0,1,1,1,1,2.0,1.0,1.0
"cảm nhận cá nhân thấy máy ổn, chơi lq pubg tầm trung, thao tác cảm ứng nhạy. tuy nhiên hãng realme kh thay đổi được nút điều hướng và kh có hiện số GB đang sử dụng phía trên máy, sạc khá nhanh pin ổn, bắt wifi mạng tốt hơn oppo cũ mình dùng",5,240,1,0,1,1,1,1.0,2.0,0.0
Chất lượng dịch vụ của thế giới Di Động và bách hóa xanh không tốt . Thái độ xem thường khách hàng .,1,100,0,1,0,0,2,2.0,-1.0,2.0
"Máy nhanh nóng, vị trí mở khóa vân tay quá thấp để dùng bằng một tay . Nhiều lúc chạm 2 lần để xem giờ thì nó hiện bù sáng để mở màn hình rất khó chịu thay vào đấy sao ko cho ánh sáng của màn hình khóa luôn đi",2,209,0,0,0,1,2,2.0,2.0,-1.0
Máy chức năng nghe gọi kém quá.máy mình nghe gọi có lúc bị ngắt quãng không nghe thấy gì.chức năng chính mà vậy thì không ổn rồi,3,128,0,0,0,1,2,2.0,2.0,-1.0
"Sao mình mới mua ip11 64g ở tgdd mới. Mà về xạc sờ mặt sau màn hình tê tê, liệu có gai do cục xạc??? Củ xạc mua thêm hơn 600k zin, cáp theo máy? Mong dc phản hồi",3,161,0,1,0,1,2,2.0,-1.0,-1.0
Camera chụp hình bị nhiễu và mờ. Có cách nào khắc phục không ạ. Mơi mua máy 2 ngay có đổi dc máy ko ạ,2,101,0,0,0,1,2,2.0,2.0,-1.0
Máy mới sử dụng 9 tháng nay thấy pin còn 92% vậy có ổn không admin ơi. Trả lời giúp với. Mới sử dụng iPhone thấy hoang mang quá,3,127,1,0,0,0,2,-1.0,2.0,2.0
"Sao e mới mua xài đc tầm 1 tháng mà bị xuống pin nhanh quá,k làm gì để đó mà cũng bị tụt pin",2,92,1,0,0,0,2,-1.0,2.0,2.0
"Mua dùng được hơn nửa tháng, trải nghiệm oke, pin dùng được lâu ,nhưng có lúc chỉ nghe nhạc thôi mà điện thoại cũng nóng",4,120,1,0,1,1,0,1.0,2.0,-1.0
Mới mua được 3 ngày xài tốt nhân viên tư vấn nhiệt tình . nhưng sao cái imess với Facetime kh kích hoạt sđt được v ?,4,116,0,1,0,1,2,2.0,1.0,-1.0
"Mình là 1 tín đồ của iphone xài từ ip4.5.6.8 và giờ là 11, nói chung tuyệt , không có gì để bàn cÃi",5,99,0,0,1,1,1,2.0,2.0,1.0
Đt mới mua về gắn sim vào sóng yếu quá.thay sim khác vào thử vẫn v? 1 cục với 2 cục ko à?,1,89,0,0,0,1,2,2.0,2.0,-1.0
Sao mới mua chưa được 1 tháng mà bắt wifi kém lắm ạ chán quá 😭 mn nên cẩn thận khi chọn e này,3,93,0,0,0,1,2,2.0,2.0,-1.0
E có mua 1 con ip11 hàg đã qua sử pin 100% từ ngày 26/11/2022 tới hôm nay là ngày 26/3/2023 mới 4 thág pin đã tuột 8% tuột liên tục còn bảo hành Apple tới ngày 4/10/2023,1,169,1,0,0,0,2,-1.0,2.0,2.0
"Máy mua mới , sọc màng hình , mà chế độ bảo hành thì chán , mua ở đây là một sai lầm !",1,86,0,1,1,1,-1,2.0,-1.0,-1.0
"Máy nhỏ gọn vừa tay, pin trâu hơn đời trước ít chơi game thì xài cũng dc cả ngày",5,80,1,0,0,1,2,1.0,2.0,1.0
"Máy mình mua bữa 7/12/2021. Dùng gọi video cho người khác không thấy hình, mà người ta gọi lại thì thấy hình. Lỗi thứ 2: quay video k xem được video mà gửi cho người khác thì xem được! Chờ phản hồi của ad ạ",3,206,0,0,0,1,2,2.0,2.0,-1.0
"Điện thoại iphone 11 64gb xài rất tốt , chất lượng cao, pin xài lâu . màn hình rõ, độ sáng ok",5,93,1,0,1,1,1,1.0,2.0,1.0
Tất cả điều ok chỉ duy nhất dùng 2 sim gọi messeger thì bị lag giật . Ko gọi đc zalo thì dùng ok tắt 1 sim để 1 sim thì lại gọi mesesge bình thường ae ai xài 13 thử xem có bị giống mình ko ?,4,190,0,0,0,1,2,2.0,2.0,-1.0
Mk mua tu 21/9 đến nay dc gần 2 tháng mà dùng sạc feck của iPad chơi game ngày sạc 4-5 lần vẫn 100% pin :)) k dùng sạc chính hãng luôn.. sản phẩm rất tốt,5,153,1,0,0,0,2,1.0,2.0,2.0
Sản phẩm cài rất mượt mọi thứ ngon lành pin thì không hẻo như mấy dòng iPhone trước,5,83,1,0,1,1,1,1.0,2.0,1.0
Mới mua chưa đầy 2 tháng mà đã vô app giật. Đem bảo hành 1 lần vẫn bị. Giờ nhắn phải đem xuống tận hãng. Mua mắc tiền mà xài ko bền so với giá.,2,143,0,1,1,1,-1,2.0,-1.0,-1.0
Mua sáng nay mọi thứ đều rất ok nhưng vẫn có cảm giác pin tụt hơi nhanh :v thôi để cắm mấy lần đầu 8h r test pại xem sao .,4,122,1,0,1,1,1,-1.0,2.0,1.0
"Mình mới mua dc 4 ngày, sao để dt qua đêm , sáng dậy lúc nào cũng bị tụt 4 5 % pin",3,82,1,0,0,0,2,-1.0,2.0,2.0
Mình mới mua iphone 11 64g. Về sử dụng mục đích bán onl mà không lưu được hình ảnh trên Zalo và message làm cách nào để khắc phục vây ạ.dù bô nhớ iPhone còn tận 50g,3,164,0,0,0,1,2,2.0,2.0,-1.0
Mua xong hôm sau có ngừơi gọi điện bảo sẽ mang tới nhà tặng phiếu gì đó mà tới nay gần tháng cũng không thấy?,4,109,0,1,0,0,2,2.0,-1.0,2.0
"dt xài cũng dc lâu lâu hơi bị đơ, đang gọi đt màn hình tắt không mở lên dc luôn",3,79,0,0,0,1,2,2.0,2.0,-1.0
"Nhân viên tiếp đón chu đáo , nhiệt tình . Cách tư vấn sản phẩm rất chuyên nghiệp nên ko định mua nhg đã mua",5,107,0,1,0,0,2,2.0,1.0,2.0
Mua máy được 4 tháng. Tự nhiên thì bị tắt nguồn. Cho e hỏi có vấn đề gì không ạ?,3,80,0,0,0,1,2,2.0,2.0,-1.0
sài được 3 tháng mấy thì bị tụt 2 phần trăm pin với bị tróc sơn mặc dù không rơi rớt gì với còn thời gian bảo hành thì có được đổi máy mới hay bảo hành không ạ điện buổi chiều giúp em sáng em đi học không tiện nghe máy,3,218,1,0,0,1,2,-1.0,2.0,-1.0
Mới xài chưa được nữa tháng sau mặt lưng bị nhô lên như pin bị phù z ạ. Mong phản hồi sớm,3,89,0,0,0,1,2,2.0,2.0,-1.0
"máy mới ngon, mà sao cứ bị mất sóng sim đột ngột làm mình không duy trì gọi được, ban đêm hơi hao pin những 8%",5,110,1,0,1,1,1,-1.0,2.0,-1.0
Máy mình mua được 1 tháng.đã 3 lần tự động tắt ass touch.là bị lỗi gì mọi người.,4,80,0,0,0,1,2,2.0,2.0,-1.0
"Mình mua máy đuọc gần 3 tháng pin còn 99% thì có phải đã bị chai pin không ạ, và mình có cần man đi bảo hành không",4,114,1,0,0,0,2,-1.0,2.0,2.0
"Sản phẩm rất tốt, tuy nhiên con một số chưa ưng y lắm như màn hình hơi tôi .....",4,80,0,0,1,1,1,2.0,2.0,0.0
Sản phẩm sử dụng chưa được 10 tháng nữa mà hết dây cáp sạc bị lỗi rồi đến máy bị lỗi. Mõi cái đem đi bảo hành từ 714 ngày. Bó tay. Tôi rất buồn khi mua sản phẩm này.,1,165,0,1,0,1,2,2.0,-1.0,-1.0
Điện thoại mua tại tgdd được 15 ngày . Sao pin tụt nhanh thế ạ . Hichic ………………..,2,80,1,0,0,0,2,-1.0,2.0,2.0
tốc độ lưu ảnh chậm ko khác j con ip6 có lúc còn bị đơ!ra hỏi nhân viên kêu con này nhiều tính năng hơn nên lưu chậm là bình thường😂!nghe muốn đập dt đi về dùng ip6 cho rồi! có ai bị như mình ko?,2,195,0,1,0,1,2,2.0,-1.0,-1.0
Đã mua hơn một tháng rồi vẫn vẫn xài rất êm . Thiết kế sang trọng - nhiều màu sắc để lựa chọn. Đặc biệt trãi nghiệm ứng dụng chơi game rất mượt.,5,144,0,0,1,1,1,2.0,2.0,1.0
"Nhân viên rất nhiệt tình, máy màu xanh rất đẹp, pin trâu. Lâu dài chưa biết thế nào nhưng giờ rất vừa ý, chưa chê được cái gì.",5,126,1,1,1,1,1,1.0,1.0,1.0
"Điện thoại tuy dùng tốt nhưng chỉ được tặng mỗi dây sạc, trong khi củ sạc nó lại khác với các dòng ip trước đây, tai nghe cũng không",4,132,0,1,1,1,1,2.0,-1.0,1.0
Mua máy được 1 ngày để qua đêm (đã tắt kết nối mạng và ứng dụng ngầm) tụt 5% pin. Ngày thứ 2 để chế độ máy bay tụt 2% pin. Có ai bị như vậy không ạ. Gửi đánh giá sau khi dùng 1 ngày nhưng không được duyệt,1,204,1,0,0,0,2,-1.0,2.0,2.0
Sau hơn 8 tháng mọi thứ đều tốt. Dùng thêm bộ sạc nhanh nửa thì không lo về pin.,5,80,1,0,1,1,1,1.0,2.0,1.0
"Mới lấy cây Black Titanium 15promaxChất lượng, nhân viên Tư vấn nhiệt tình.Không có sẵn hàng tại cửa hàngTung ngay đàn chim đi lấy mồi.Và giao tận tay cho khách. Hiện tại hàng dùng ok chất lượng. xin lại video bóc seal là 5cộng",5,227,0,1,1,1,1,2.0,1.0,1.0
Sau khi sử dụng mình rất lo lắng về tuổi tho của pin. Trong lúc sạc máy lúc nào cũng bị nóng,1,92,1,0,0,1,2,-1.0,2.0,1.0
"Mình thấy dùng ổn, các tính năng oke, pin ổn, đáng mua, nhỏ gọn nữa, mình thấy dễ cầm lắm. Có điều mình cảm giác bàn phím k được nhạy.",5,134,1,0,1,1,1,1.0,2.0,0.0
"Cho mình hỏi mình mua máy về sạc lúc đầu máy luôn bị nóng, pin khoảng 80% trở lên thì máy không bị nóng nữa. Sạc mình mua chính hãng ở tgdđ luôn, mình ra cửa hàng hỏi thì nv bảo dòng ip nó như vậy, mong tư vấn giúp ạ! Mình sd đc 3 tuần rồi",4,239,1,0,0,1,2,-1.0,2.0,1.0
nv tư vấn nhiệt tình..anh quản lí thì bao dễ thương..xử lí rất hợp tình hợp lí..,5,80,0,1,0,0,2,2.0,1.0,2.0
"Phục vụ tận tình, chu đáo, máy dùng tốt, thêm chương trình giảm giá nữa quá tuyệt vời. Phải vào đánh giá ngay",5,109,0,1,0,1,2,2.0,1.0,1.0
"e mua mới được gần 3 tháng thôi mà dung lượng pin tối đa đã tụt xuống còn 96% , hao nhanh kinh khủng mà e sử dụng và sạc pin rất quy củ :(( giữ máy cực kì",3,154,1,0,0,0,2,-1.0,2.0,2.0
"TÔI CÓ THẮC MẮC.Mới mua đc 3 hôm với giá 4390trả thẳng sao ko có kèm theo tai nghe Bluetooth Nhân viên hỏi có mua thêm tai nghe không TGDĐ Tân Thủy, Ba Tri, Bến tre",3,164,0,1,0,0,2,2.0,-1.0,2.0
"Đã mua được mấy ngày , cảm thấy mọi thứ đều rất tốt ngoại trừ cái màn hình nói thật mà hơi tệ thôi. Nói chung là hài lòng",5,121,0,0,1,1,1,2.0,2.0,-1.0
Mới mua dc 3 ngày mà sạc pin hết 6 lần. Máy nóng pin tụt lẹ. Mua dt mà k dám sài để dành pin công việc. Ko biết là lỗi do đâu,2,125,1,0,0,1,2,-1.0,2.0,-1.0
Nói chung sài trong hơn một tháng qua mọi thứ đều tốt chưa có vấn đề gì bận tâm cả còn về sau thì chưa giám đánh giá nói chung hài lòng với số tiền bỏ ra,4,153,0,0,1,1,1,2.0,2.0,1.0
"Sài được 2 tháng r chưa pt s nhưng s bao xịn sò luôn, camera rất đẹp , màn hình nhạy nói chung oke hong còn từ nào diễn tả ❤️",5,125,0,0,1,1,1,2.0,2.0,1.0
"Mua 2 cái nhưng 1 cái bị lỗi phím tăng âm lượng, mang ra cửa hàng và được đổi cái mới. Nhân viên rất nhiệt tình và thân thiện.",5,126,0,1,0,1,2,2.0,1.0,-1.0
"Máy mỏng đẹp, chụp hình ngon lành. Mạnh mẽ, nhanh chóng, làm gì cũng nhanh, không bị trễ như android. Có điều tiếc chút vì không có vân tay màn hình. Pin thì đã ổn hơn trước nhiều. TGDD hỗ trợ nhiệt tình. Xài em iphone này chắc sẽ lâu lắm.",5,239,1,1,1,1,1,1.0,1.0,1.0
"Máy mới mua đươc tầm 10 ngày nhanh hết pin cực kỳ, tắt wifi để từ tối tới sáng cũng hao pin, dùng cỡ trên 20p liên tục là máy nóng",2,130,1,0,0,1,2,-1.0,2.0,-1.0
Mới mua đc 1 tuần Sản phẩm rất tốt nhân viên siêu nhiệt tình ạ sẽ giới thiệu người thân và gia đình chụp hình,5,109,0,1,1,1,1,2.0,1.0,1.0
Cho hỏi mọi người cam sau 13 này sao lại hiện 2 cái vết tròn ngay 2 mắt vậy ạ,3,77,0,0,0,1,2,2.0,2.0,0.0
Cảm thấy pin hàng VN/A của TGDĐ không đc tốt. Mới mua đầu tháng 2 mà giờ pin 99%. Cắm sac rất cẩm thận. Trc mua con 8+ chưa hết năm thì pin còn 89%. Thất vọng,2,158,1,0,0,0,2,-1.0,2.0,2.0
"Mua được 1 tháng tại Hòn Chồng Nha Trang ,xài rất Ok pin ổn nhân viên nhiệt tình ,nhưng sao loa xài được có bên phải vậy do loa hư hay máy vậy",5,142,1,1,1,1,1,1.0,1.0,-1.0
"M thấy dịch vụ của tgdd ko còn đc tốt như trc, hôm m đi mua ngoài chú bảo vệ ra k ai tiếp đón. Đến lúc m gọi mới có ng ra lấy máy cho m. Qli thì vừa đi vừa xem đt rất bình tĩnh.",3,177,0,1,0,0,2,2.0,-1.0,2.0
Mới mua iPhone 13 đc 2 tháng giờ muốn đổi lên iPhone 15 thì bù bao nhiêu tiền ạ,5,79,0,0,0,1,2,2.0,2.0,0.0
"Mới dùng được hơn tháng. Mọi thứ đều ổn, còn về lâu dài thì sau này mới biết đc. Tóm lại ok với giá tiền bỏ ra",4,110,0,1,1,1,1,2.0,1.0,1.0
"Lấy hàng hôm 31/10, màu hồng xinh xĩu... pin trâu cực kì. Chờ đợi nửa tháng thì ẻm cũng về với mình. Ưng gì đâu luôn á.",5,119,1,0,0,1,2,1.0,2.0,1.0
5sao. Cho nhân viên. Điện thoại mới mua hoạt động bình thường. Mình luôn luôn tin tưởng về chất lượng của sản phẩm. ĐIỆN MÁY SANH,4,129,0,1,1,1,0,2.0,1.0,1.0
Mua dk 10 ngày pin tụt 99% . Đưa ra xỉ lý về 100% . Qua 1 tháng 2 ngày còn 98%. K hỗ trợ đổi. Bắt đưa lên hãng.còn kêu hết 1 tháng này nọ.trong khi 10 ngay đã đưa rồi. Thà mua máy 99% cho rẻ 4-5tr còn đỡ tức hơn.thái độ khi mua rất tốt.nhiệt tình.còn thái độ khi sử lý đổi cho khách rất tệ.né tránh,1,298,1,1,0,0,2,-1.0,-1.0,2.0
"Mình mới mua điện thoại từ ngày 4/5 . Mấy ngày đầu mình chưa mua sim nên dùng rất ít . Nhưng sau khi sài đc 10 ngày tiếp theo mỗi ngày sạc 1 đến 2 lần , khi sạc không dùng cũng không sạc qua đêm mà giờ pin còn 99% . Bây giờ cứ cắm sạc là máy nóng . Không biết là do lỗi gì",3,272,1,0,0,1,2,-1.0,2.0,-1.0
Vừa dùng đc 1 tháng hao mất 1% pin rồi dùng tác vụ bình thường thôi mà.liệu có sao k,3,84,1,0,0,0,2,-1.0,2.0,2.0
sử dụng 3 tháng tình trạng pin còn 99%. mặc dù sử dụng rất cẩn thận và sạc pin tuân thủ sạc đầy 100% mới sử dụng.,3,113,1,0,0,0,2,-1.0,2.0,2.0
"Trên hệ thống thì cập nhật còn 6 tháng bảo hành mà khi nhận máy thì chỉ còn 3 tháng bhanh, nên cập nhật tt chính xác hơn, vì cần máy nên mới lấy chứ k là gửi lại rồi",3,165,0,1,0,0,2,2.0,-1.0,2.0
"Mua đt ở tgdd f1, nhưng đợi bàn giao đth hơi bị lâu hơn 1h mới xong. Cảm nhận về con 13 của mình là mượt cute lắm, xài thoải mái cả ngày mới hết pin",4,148,1,1,0,1,2,0.0,-1.0,0.0
"hài lòng , nv nhiệt tình, máy tốt, máy hồng, nguyên seal ko có gì để chê cả. nhân viên cửa hàng 26 phan đăng lưu bình thạnh phục vụ rất tốt, nhanh chóng , rất nhiệt tình, hi vọng máy bền, dùng ổn.",5,196,0,1,1,1,1,2.0,1.0,1.0
"cam chính chụp gần bị out nét, quay video cũng vậy, còn lại thì cấu hình siêu mạnh, màn hình đẹp, pin trâu, đáng mua nếu mức giá giảm chút nữa, còn ai nhiều tiền thì chơi thôi :v",4,178,1,1,0,1,2,1.0,0.0,-1.0
Pin trâu nhưg chơi có lúc máy nóng muốn nổ. Mà ko bt do máy hay do mình cập nhật lên ios 15.2 phải. Nhưg khuyên mn ko nên cập nhật ios 15.2 máy hay đơ với nóng,4,159,1,0,0,1,2,0.0,2.0,-1.0
Hôm nay mới mua đt ở tgdt có thắc mắc là khi gõ vào màn hình thì kêu bộp bộp như bị rỗng vậy? Không biết có phải máy nào cũng vậy không ạ?,3,138,0,0,0,1,2,2.0,2.0,-1.0
Điện thoại e mỗi khi điện bên kia nghe là bị mất tiếg có tiếng không trong khi đó mạng rất bth mà máy cũ xài mấy năm điện thì ko bị tình trạng như vậy,3,150,0,0,0,1,2,2.0,2.0,-1.0
Máy mạnh. Pin trâu chụp hình đẹp. Chỉ có sài màn hình to riết nhìn màn hình nhỏ ko quen. Các ban nv tư vấn nhiệt tình rất ok,5,124,1,1,0,1,2,1.0,1.0,1.0
"Máy ngon, pin trâu, chụp hình đẹp, chụp đêm đỉnh, sạc nhanh đầy từ 9h sáng hôm trước mà 12h trưa hôm sau vẫn còn 30% Vài năm nữa có tiền sẽ tiếp tục lên đời iPhone, lúc trước xài android chán lắm",5,195,1,0,1,1,1,1.0,2.0,1.0
Ram 6 Gb mở rộng thêm 6Gb nữa mà chạy tác vụ không ổn định loading lại từ đầu không ram đúng 3Gb thì đúng hơn ảo quá,3,116,0,0,0,1,2,2.0,2.0,-1.0
Đôi khi các cuộc gọi đến mình đang nói chuyện thì bị tự động kết thúc cuộc gọi. Mình tắt tính năng tự động r mà nhiều lúc vẫn bị như vậy.,3,137,0,0,0,1,2,2.0,2.0,-1.0
Tui cảm thấy điện thoại của tui tự nhiên sao nó bị phù gần camera vậy mong thế giới di động xem xét lại dùm tui đc hong,3,119,0,0,0,1,2,2.0,2.0,-1.0
"Máy đẹp,mượt,chụp hình sắc nét.Chị Quỳnh ở TGDĐ số 8 Hoà Bình - Ninh Kiều - Cần Thơ tư vấn nhiệt tình dễ thương.",5,112,0,1,0,1,2,2.0,1.0,1.0
"Nhân viên Huyền chăm sóc khách hàng rất tốt, tư vấn nhiệt tình lắm nha, mình mua tại Hòn Chồng, Nha Trang.",5,106,0,1,0,0,2,2.0,1.0,2.0
Bay h minh may biet tai sao moi người lai chọn iPhone cam nhan khi chuyen tu Samsung sang iphone cam nhan dau tien la nhanh muot camera chi tiet rất sac nét nhan vien thi rất OK cam on các b,5,196,0,1,0,1,2,2.0,1.0,1.0
