,Comments,n_stars,Label
37,"Mới dùng được 2 tháng bóc ốp ra lau máy mà nó tróc cái xi ra luôn, tự nhiên thấy cái máy dỏm hẳn, anh em mua né màu xanh ra nhé. 14 promax màu vàng dùng cả năm chả bị miếng xước nào, chánnnnnnnn",2,
38,15prm e mua dùng đc một tháng % pin còn 98 có sao không ạ,3,
39,ai đánh giá ntn thì không biết nhưng dùng apple trước giờ rất là tuyệt,5,
40,cho mình hỏi mình mới mua iphone 15pro max bên mình nhưng sao khi sạc từ pin dự phòng vào nó không nhận chỉ nháy báo vào sạc xong mất nó lại báo liên tục vậy,4,
41,"Mới đập hộp hôm sale black friday xong, về thấy có bụi trong ống kính cam sau, tải ứng dụng rất chậm, camara chụp mờ hơn con 14prm nữa, đem ra tgdd đổi thì nói đổi máy trả bảo hành khui hộp ra chỉ được lấy máy, còn hộp phụ kiện cũ dữ lại k cho đổi luôn cả hộp phụ kiện, ghét quá bán luôn, mất niềm tin vào ip và tgdd, chưa được 24h nữa mà đổi trả 1 đổi 1 rất khó khăn, mua về nhà bóc seal k cho, bắt bóc tại tiệm, quá tệ",2,
42,TOT,5,
43,xxxx333330 mình muốn đc tư vấn,5,
44,"Dịch vụ tốt, sản phẩm oke, sẽ ủng hộ iphone 16",5,
45,Nói chung mọi thứ đều ổn chỉ mỗi cái là pin tụt hoi nhanh so với 14prm,5,
46,rất oki sẽ ủng hộ iphone 16,5,
47,Tuyệt vời,5,
48,"Luôn yên tâm mua hàng tại ĐMX và TGDD, Iphone 15 Promax nhẹ hơn 14 Promax, cầm chắc tay, pin trâu, Titan màu bạc đẹp xuất sắc, nhân viên ĐXM TT. Cái Dầu, Châu Phú, AG rất nhiệt tình. Luôn ủng hộ shop",5,
49,Good,5,
50,"Máy mất 4g và mạng di động liên tục, đang gọi di động bình thường mất là văng cuộc gọi luôn. Ra shop thì nv nói do sim cũ, hôm nay đi đổi sim mới tinh về vẫn bị như vậy. Ảnh hưởng tới công việc rất là nhiều",2,
51,Em vừa mua được mấy ngày sao chụp hình gần đèn bị chớp liên tục,4,
52,"Máy ok, nhân viên ở cửa hàng tt Mỹ Thọ dễ thương",5,
53,Tốt,5,
54,"Năm nay màu Xám tự nhiên đẹp nhất, rồi tới màu trắng đẹp nhì (chính giữa là 15 promax trắng)",5,
55,"Sử dụng rất ok, hoạt động ổn định mượt mà ko lỗi vặt",5,
56,"Năm nay không ngờ giá ở tgdđ tốt như vậy luôn rẻ hơn hệ thống bán lẻ khác. Ip 15prm rất nhẹ, cảm giác cầm nắm tốt. Mỗi tội pin hẻo, tụt hơi nhanh.",5,
57,Có mua từ ngày đầu ra mắt mà được xài đâu. Thôi kệ cho 5 sao. Niềm vui là mình vui,5,
58,ok,5,
59,Ok,5,
60,Máy sài rất êm chụp hình rất đẹp không chê vào đâu được nói chung là OK lắm,5,
61,Hoenej tại sài cảm thấy ok,5,
62,Ok,5,
63,Vip . Chất lượng tuyệt vời,5,
64,Quá tuyệt vời. Đmx quá chu đáo,5,
65,tốt,5,
66,Good,5,
67,Sau 1 tuần lấy máy sớm và trải nghiệm thật tuyệt vời camera đẹp máy nhẹ,5,
68,"Mới lấy cây Black Titanium 15promaxChất lượng, nhân viên Tư vấn nhiệt tình.Không có sẵn hàng tại cửa hàngTung ngay đàn chim đi lấy mồi.Và giao tận tay cho khách. Hiện tại hàng dùng ok chất lượng. xin lại video bóc seal là 5cộng",5,
69,Rất đẹp dùng rất tốt,5,
70,Mua theo lý trí và rất hài lòng,5,
71,Tốt dùng mượt,5,
72,"Máy xài mượt , tốt !",5,
73,Cho mình hỏi dòng ip15pl sao trên khe sim lại không in số máy nhỉ,4,
74,"Cái gì cũng ok, từ sản phẩm tới nhân viên hỗ trợ. Chỉ có điều thời gian chuyển đổi dữ liệu từ máy cũ sang mới lâu quá nên ngồi đó chán.Góp ý nên có nước cho khách hàng uống nếu như quá trình mua hàng lâu nhé tgdđ ơi.",5,
75,"Mình đặt mua IP15+ qua trước đến cửa hàng nhận máy thì đợi hồi lâu mới có máy. Cửa hàng thì không có ốp lưng, cường lực. Có miếng dán chống chày thì bạn nhân viên dán bị bọt khí, phản hồi cho bạn ấy thì bạn nói anh về sạc nóng máy là tự hết. Mua điện thoại xong thì bạn nhân viên đưa cái túi bự chà bá lửa do hết túi mong anh thông cảm. Một trải nghiệm mua hàng cực kì tệ.",1,
76,"Dùng hơn hai tháng máy ổn định,chụp ảnh ổn áp, pin cực trâu, cầm nhẹ tay, màu xinh",5,
77,Giâ cao hơn những cửa hàng khác. Khuyến mãi không hữu ích,5,
78,Ok,5,
79,Bị lỗi sạc điện thoại không vào pin khi mới mua có 10 ngày mong tgdd liên hệ sớm,2,
80,Xài pin 1 ngày khỏi suy nghĩ tgdd ngã 3 đh phục vụ tốt,5,
81,"Điện thoại mk mới mua hôm 2710 đến hnay là 211 mới dùng đc mấy hôm mà đt tụt pin nhiều quá có 7tiếng đồng hồ mk tắt hết wifi, 4g và các tác vụ ứng dụng chạy ngầm và không dùng điện thoại trong thời gian đó nhưng vẫn bị tụt mất 6% pin ra cửa hàng thì các kêu bình thường và k hỗ trợ mấy mới mà vậy thì",3,
82,Rất tốt. Nhẹ. Rất mượt,5,
83,"đang bị lỗi input app Agribank, chờ update iso",4,
84,Ok,5,
85,Rất oke nhưng bjo lại muốn đổi 15plus vì thích màn hình to,5,
86,Mình là female nhé,4,
87,Tốt,5,
88,Tuyết voi,4,
89,M muốn đổi từ 15 sang 15 plus thì ntn Máy ngoại hình 100 % luôn ý.,3,
90,Máy nhìn ở ngoài xinh hơn ạ. Nhân viên tư vấn nhiệt tình,5,
91,tốt,5,
92,Lâu lâu cắm sạc bị đen màn hình như này có bảo hành được không ạ,3,
93,"máy mình mua đc 19 ngày tại cửa hàng, giờ mình muốn thanh lý lại thì mất bao nhiêu % ạ",4,
94,"Pin trâu, mượt, camera nét, ngoại hình cute. Rất okXứng với tầm giá",5,
95,Máy đẹp dùng rất thích,5,
96,"Máy màu xịn xinh dã man10 cho bạn giao hàng nha Vui vẽ nhiệt tình , giao hàng xa như mà rất nhanh",5,
97,"Điện thoại mình dô chơi game lâu lâu nó cứ xuất hiện mấy đường sọc chớp nhoáng tầm 2s rồi mất, z lỗi này có được đổi đt mới ko ad, mình chưa thấy ai bị lỗi này ở s24U. Mình mua đt mới được 8 ngày",5,
98,Dùng dc 1 tháng rồi mọi thứ tốt.nhưng khi sử dụng ngoài trời thì máy nóng quá.,4,
99,"Toàn thấy chê nhỉ. Đây mua máy về dùng ưng ơi là ưng, pin tốt. Máy mát, mượt, cam đẹp, Ai ngon.",5,
100,Ốp tặng kèm rởm bụi vào xước dăm hết cả viền.,1,
101,Dùng k tốt lắm. Hoàn thiện kém và màn hình thì tệ hơn cả a73 củ của mình,3,
102,"Tôi thấy chưa cải tiến về khóa vâng tay, tui đang dung máy cái samsum roi, khóa vâng tay kg nhạy j hết, vẫn thua iPhone chỗ khóa vâng tay",3,
103,Mua giá cọc mà còn mắc hơn lúc mua online. Chê,2,
104,1 sao vì phần quà tặng ốp lưng quá tệ ốp thì cứng lắp vào thì cào xước hết phần thành của điện thoại.tgdd k test phần quà tặng trước khi tặng à,1,
105,"Màn mình s24ultra năm nay xấu tệ , camera chụp ảnh bị noise nhiều , pin nhanh hết , tóm lại thua s23ul rất xa Hối hận khi mua s24ultra",1,
106,"Có chức năng gọi điện, truy cập Internet qua WiFi, chụp hình ảnh, quay video clip. Có thể tải zalo về để gọi điện. Phát wifi tốc độ cao.",5,
107,"Đặt cọc để sở hữu sớm mà giá cao hơn ko cọc, lại còn không được tặng tai nghe nữa, quá chán. Tgdd làm ăn kiểu này sẽ sớm mất hêt khách hàng",1,
108,Camera zoom gần bị lỗi lệch chủ thể có được đổi máy không shop ơi,5,
109,Sao trên này báo 28.9 mà ra cửa hàng mua 30.9 vậy ảo thật đấy,1,
110,Sản phẩm ok,5,
111,"Giờ được tặng tai nghe, mới mua 2 bữa trước không có tặng. Vậy giờ có đc tặng thêm k ad",3,
112,đặt cọc trước mà giá vs quà còn thua bây giờ.. chưa hiểu TGDĐ làm ăn kiểu gì,3,
113,"Đặt cọc trước, là 1 trong những người đầu tiên sở hữu bản thương mại mà giờ mua online giá còn rẻ hơn lại có thêm quà nữa. Nay cạch TGDĐ luôn",1,
114,"Mua đặt cọc mà giá đắt hơn cả ko cọc. Cách nhau có 1 tuần mà giá cách nhau 5 triệu. Thế này thì lần sau sang chỗ khác mua thôi, từ bỏ tgdd luôn",4,
115,Tôi mua 3 cái. Đặt cọc trước. Giảm tổng 6tr. Mà bây giờ giá và quà tặng còn giá trị hơn cả việc đặt cọc trước. Tôi không hiểu chính sách bán hàng của TGDD như thế nào nữa,1,
116,Mua đặt cọc mắc hơn mua không cọc,1,
117,"Máy đẹp, chất liệu titan bền, chụp ảnh zoom xa, lướt mượt, tính năng AI khá hay, sài ok nha",5,
118,Mua đặt cọc mắc hơn mua ko cọc... tgdd giờ ko như xưa nữa.. tệ..,1,
119,"Máy đẹp, Sài ngon, không chê vào đâu được ,pin cũng OK",5,
120,"Máy nhanh nóng, vị trí mở khóa vân tay quá thấp để dùng bằng một tay . Nhiều lúc chạm 2 lần để xem giờ thì nó hiện bù sáng để mở màn hình rất khó chịu thay vào đấy sao ko cho ánh sáng của màn hình khóa luôn đi",2,
121,Máy dùng 15p nhanh nóng..thấy mẫu đẹp mùa dùng thử ai ngờ....như căn cọt,2,
122,"Máy mới mua được 4 ngày,xài bị lỗi bàn phím, lúc bấm được và không được, pin sạc đầy,rút ra để qua đêm,tắt hết wifi,4G,ứng dụng chạy nền sáng mất tận 10% pin,không hiểu nổi,màn hình có khi đang xài loạn cảm ứng nhẹ,thất vọng",3,
123,Good,5,
124,"Máy dùng chưa hết 1 tháng đã thấy máy nóng, pin không cầm bằng các dòng máy trước. Đặc biệt mở camera chụp ảnh, quay phim chưa gì máy đã nóng, camera tự out độ sáng, màn hình tối thui. Bạn KTV có test rồi về dùng mãy vẫn như thế. Mong hãng bảo hành hoặc có giải pháp khắc phục chứ đt mà không dùng được camera để quay phim chụp ảnh thì còn gì là đt nữa. Rất không hài lòng.",2,
125,"ai nói sao chứ, tui mới mua dc 3 ngày sài thấy êm lắm mà ta, pin trâu, tốc độ sử lý cũg nhanh, máy cũng khôg nóng mấy chỉ ấm lên 1 chút thôi. noi chug máy đẹp sài êm",5,
126,Dùng 5p nóng máy rồi. Đổi máy mới dùng cũng nóng . Chán hơn con Oppo A54 cũ của mình. Nản,2,
127,"Mới mua được 1 tháng 2 ngày nhưng pin tuột nhanh, máy dùng được khoảng hơn 15p là bị nóng, đôi lúc xem video bị đơ màn hình Thua con Oppo F7 lúc trước xa",3,
128,Máy tốt pin cũng ok đặc biệt vào mạng khỏe tôi rất hài lòng về sản phẩm mong sao dùng bền theo năm tháng,5,
129,Đc mỗi cái màn cong 120hz.sạc nhanh 67w.còn mọi thứ thua cái đt 6tr...mạng lác dật..pin xả như điện..sài cái Vivo s1 pro 5 năm..bị lỗi men mới đổi sang con này..hết ham..mới đổi chưa đc tháng,3,
130,Tốt,5,
131,"pin xuống nhanh,máy dùng bị nóng, sạc cũng nóng máy,k có cường lực xong xuất hiện mấy nốt chấm k biết là do màn hình hay do cái giấy bóng kính bên ngoài . tự dưng còn bị mất mạng ở 1 ứng dụng trong khi các ứng dụng khác vẫn có mạng .hối hận khi mua",2,
132,máy dùng cung okela chỉ có cái là mỗi khi vô ứng dụng là wifi lại yếu bớt hẳn và chưa có kính cường lực ạ,4,
133,"Máy Sài cũng đc . Nhưng bìn tuột nhanh quá. Ngày sắc 5 , 6 lần . Còn thừa cả máy Samsung A50. Sài 4 5 năm .",3,
134,Mình có mua oppo reno11 5G bị lỗi màn hình 1 đổi 1 nhanh lẹ.nv nhiệt tình...dù mk có thắc mắt nhiều chuyện thì các bạn cũng giải đáp mọi câu hỏi.mình dành cho các bạn 5,5,
135,Pin tuột nhanh. Mua máy mới k được khui hộp.sài dòng f7 đâu tệ như reno 11. Chán và thất vọng,1,
136,Oppo Reno 11 5g máy đẹp camera đẹp sát nét pin Sài lâu nguyên ngày vẫn chưa hết,5,
137,Pin dùng được 1 ngày. Hơi nóng máy khi quay phim chụp hình liên tục. Ảnh chụp cho ra bức ảnh đẹp ko ảo.... Nói chung dùng chụp hình thì vô đối trong tầm giá đt chính hãng.,4,
138,T mới mua đt này.. mang sang nước ngoài để dùng . Nhưng máy lắp sim vào k dùng đc.. giờ muốn trả lại có đc ko..,4,
139,Làm ơn hộ trợ mình với. Mình vừa mua máy vào Facebook các bài có đường link nhưng ko ấn vào đường link để xem được. Là bị sao,3,
140,Cho hỏi sản phẩm có kính cường lực cho màn hình ko,5,
141,Sản phẩm tốt cho học sinh và người lớn tuổi,5,
142,Tốt,4,
143,Tốt so với tầm giá,5,
144,Đang sài vivo y17s thấy rất tốt pin giữ lâu giá cả hợp lý,5,
145,"Máy lác ,đơ ,chơi quá tệ",1,
146,"Màn hình sáng, loa lớn, mượt",5,
147,Điện thoại chơi games rất mượt camera nét lắm nói chung là rất thích,5,
148,mua iPhone 13 TGDD không có cổng sạc hả ad,3,
149,"Mình có mua điện thoại iphone 13 ở Thế giới di dộng thới lai mình cái bạn cài điện thoại cho mình cài icloud mà không hỏi mình cài tên gì bạn tự ý cài kh theo ý mình mong muốn , mình luac giờ chỉ tin tưởng thế giới di động , bạn làm mính thất vọng quá , bạn cài máy rất lâu làm mình rất không vui , mình không muốn vào lại đó chút nào",1,
150,"mua được 10 mấy bữa thì cứ báo tràn ram và tắt nguồn khi sạc qua đêm , mặc dù trước đó xài iphone đời cũ hơn không bị tình trạng này . Ra chạy chuẩn đoán thì báo bình thường mà về bị tận 2 lần bảo cập nhật lên rồi cũng k hết được",3,
151,"MÁY MUA ĐƯỢC 7 THÁNG MÀN HÌNH BỊ SỌC MÀU TRẮNG XANH VÀNG ĐỎ,GỬI ĐI BẢO HÀNH HƠN 1 TUẦN RỒI,KHÔNG BIẾT NHƯ THẾ NÀO,RẤT BUỒN...",1,
152,Đẹp cầm vừa tay gọn thêm ốp nữa là ok Mình mua đc hơn 1th r chưa thấy vấn đề gì Nhân viên TGDĐ phương lâm tân phú đồng nai phục vụ khách hàng rất tốt vui vẻ chỉn chu cài đặt từ a đến z rất ưng ý,5,
153,trả điện thoại lấy tiền lại cũng không được nói vòng vo Tam quốc chán,1,
154,10 điểm,5,
155,"mua mới tại ĐMX mà không được hỗ trợ dán kính cường lực ,",4,
156,Rất tốt,5,
157,"Em mới dùng ip chưa đầy 1 tháng nhưng mỗi lần sạc đều nóng có ổn không z ạ, em nghe nói nóng quá sẽ bị chay pin, em k vừa dùng vừa sạc vẫn nóng ạ",3,
158,Cho hỏi IPhone 13 mình dùng ốp trong suốt nếu dùng sạc không dây thì có phải tháo ốp không nhỉ,3,
159,Mình có mua iPhone 13 tại tgdđ cách đây 2 năm giờ mình muốn đổi máy mới có đc không,5,
160,"Mình mới sử dụng nên chưa đánh giá đc nhiều máy đẹp, cứng cáp, mượtCó 1 vấn đề không hài lòng, có chương trình trợ giá dán cuong lực cho máy mà cửa hàng lại không dán miếng dáng cường lực cho máy. báo hết toàn hệ thống, vậy trợ giá này không sử dụng đuọc phải ra ngoài ý.",4,
161,"Anh/ chị em sinh đôi khi cài face id trên iphone 13, người này vẫn mở khoá face id trên điện thoại của người kia được. Điều này không thật sự bảo mật trên thiết bị iphone như mình nghĩ",4,
162,"Mình mua và sử dụng củng được vài tháng ròi ,mua vì hàng đập hộp cho an tâm nào dè sài chán ,máy nóng mau tuột pin ,60hz chậm , màu hồng đẹp",2,
163,"Máy mới mua về xài là thấy rất hay bị nóng. Mở app ra dùng tầm 5p là bắt đầu ấm lên, càng dùng càng nóng. Quay video tầm 5p thì ối dồi ôi nóng phỏng tay. Trc dùng android 6tr máy mát lạnh xài 5 năm chưa bao h thấy bị nóng máy. Giờ bỏ ra 16 củ rước về 1 cái máy very nóng... Lỗi nóng máy thì có được đổi trả 30 ngày k vậy",2,
164,"Sao mình mua dùng đc 6 ngày mà bàn phím đang đánh chữ nó cứ tự nhảy sang số là sao nhỉ, có phải bị lỗi cảm ứng ko",4,
165,Rất tôt,5,
166,Mục đích mình sử dụng đơn giản lên cũng chẳng biết đánh giá sao. Nhưng có đặc điểm là mình không còn thấy nhức mỏi mắt như lúc mình dùng oppo và live. Nghe gọi đây doc nét ko bị vấp,5,
167,"ad ơi. sao cập nhật lên io 17.2 bị hao pin quá ad, có cách nào quay lại bản cũ ko ad",3,
168,Mình đã dùng hơn 2tháng và thấy pin khoẻ chất lượng ok dù chưa biết hết công dụng của nó.,5,
169,Mua về chưa dùng được một tối. Đã lỗi ko nhận sim. Kết quả phải gửi bảo hành…. Bây giờ chờ 15 ngày nữa ko biết có máy dùng ko. Bỏ tiền mua rắc rối bực tức 😩😩😡😡,1,
170,Máy dùng ổn nhưng pin tụt rất nhanh. Pin tụt nhanh thì có thể đổi mới trong vòng 1 tháng không ạ,3,
171,Hàng ok,5,
172,"Đối với mình máy ok, có 1 vấn đề là vào camera chụp hình thì tí bị văng ra. Bên tgdd có cách nào khắc phục không, mình cũng khởi động lại thiết bị rồi. Hay cần ra trực tiếp cửa hàng ạ.",4,
173,Mới mua iPhone 13 đc 2 tháng giờ muốn đổi lên iPhone 15 thì bù bao nhiêu tiền ạ,5,
174,"Máy dùng dc 6 tháng thì nóng , ko lên nguồn. Gửi đi bảo hành 10 ngày . Chiều ra DMX lấy về thì tiếp tục nóng, ko lên nguồn. Quá phiền phức, ảnh hưởng đến công việc.",1,
175,Máy rất mượt,4,
176,Sản phẩm tệ hay bi lỗi,2,
177,"Pin tụt nhanh ko biết có ổn ko ,",4,
178,May rất ok. Nhưng hài lòng nhất là nhân viên của dmx.rất nhiệt tình với khác hàng,5,
179,Pin tụt nhanh có đk đổi mớ ko vậy,3,
180,Dùng ok,5,
181,Rất tốt,5,
182,Mới mua được 5 tháng mà bị hỡ keo bung màng ráng đem gửi bảo hành hi vọng sẽ trở về trạng thái ban đầu,1,
183,Hình như chỉ đánh giá 5 mới dc duyệt đúng k add,1,
184,Quá ok,5,
185,Điện thoại xài ổn,5,
186,Sản phẩm sử dụng tốt sẽ ủng hộ lâu dài nhân viên hỗ trợ rất tốt,5,
187,Cuộc tình dù đúng hay sai thì xem phần bình luận và đánh giá của iphone vẫn cảm thấy yên tâm nhất. Các hãng khác thấy toàn bị chê,5,
188,ok xài rất ok pin trâu,4,
